ID,Name,Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP
B423, Gonçalo Matos,1,39,1,9130,1,1,150.0,1,19,19,9,5,160.0,1,0,0,1,1,0,24,0,0,5,13,4,13.75,1,0,5,9,3,12.0,0,9.4,-0.8,-3.12
B433, Renato Guerreiro,2,43,1,9085,1,1,160.0,1,37,37,9,7,120.0,0,0,0,1,1,0,21,0,0,5,11,0,0.0,2,0,5,11,3,11.666666666666666,1,9.4,-0.8,-3.12
B670, Paulo Fernandes,1,17,1,9254,1,1,119.0,1,1,1,4,10,125.0,0,0,0,1,1,0,19,0,0,6,7,5,10.8,0,0,6,10,2,10.5,0,10.8,1.4,1.74
B445, Domingos Marques,1,17,2,9773,1,1,124.0,1,1,1,4,4,127.9,1,0,0,1,1,0,20,0,0,6,11,3,13.666666666666666,0,0,6,13,4,10.25,0,9.4,-0.8,-3.12
B266, Afonso Leite,1,15,1,33,1,1,133.1,41,2,3,2,4,100.0,0,0,0,1,1,0,20,1,0,7,10,7,12.857142857142858,0,0,7,7,4,12.75,0,8.9,1.4,3.51
B110, Nuno Faria,1,43,3,9500,1,1,126.0,1,38,37,6,5,124.3,1,0,0,1,0,1,18,0,0,7,8,5,11.98,0,0,7,8,5,11.98,0,7.6,2.6,0.32
B661, Duarte Simões,1,44,1,9238,1,39,140.0,1,37,19,191,102,136.1,1,0,1,1,0,0,21,0,3,6,8,3,12.0,0,2,6,6,2,12.5,0,12.4,0.5,1.79
B590, Salvador Esteves,1,17,3,9500,1,1,132.0,1,19,3,9,5,130.8,1,0,0,1,0,0,18,0,0,8,8,7,13.68142857142857,0,0,8,8,7,13.68142857142857,0,10.8,1.4,1.74
B336, Artur Vaz,1,1,1,171,1,1,147.0,1,2,3,4,8,145.3,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79
B368, Tomás Lobo,1,44,3,9085,1,39,150.0,1,1,19,4,1,150.0,1,0,0,1,0,0,19,0,0,5,10,1,13.0,1,0,5,8,3,15.333333333333334,0,12.7,3.7,-1.7
B315, Márcio Magalhães,1,42,1,9003,1,1,140.0,1,19,19,4,4,140.0,1,0,0,1,1,0,25,0,0,6,14,5,11.666666666666666,0,0,6,11,4,12.0,0,15.5,2.8,-4.06
B686, Xavier Brito,1,43,1,9500,1,1,125.0,1,37,37,9,7,123.6,1,0,0,1,0,1,18,0,0,7,8,5,12.86,0,0,7,8,5,12.86,0,7.6,2.6,0.32
B199, Frederico Campos,1,39,1,9991,0,1,130.0,1,1,1,4,10,115.2,0,0,0,1,1,0,24,0,0,5,5,4,12.0,0,0,5,6,5,12.666666666666666,0,12.4,0.5,1.79
B169, Mateus Reis,1,1,2,9119,1,1,149.0,1,38,38,5,5,141.0,0,0,0,1,1,0,18,0,0,5,9,2,11.666666666666666,0,0,5,9,2,12.5,2,7.6,2.6,0.32
B491, Teresa Batista,1,17,2,9147,1,1,129.0,1,2,3,2,2,128.3,1,0,0,1,0,0,19,0,0,5,10,3,11.0,0,0,5,9,4,11.75,0,12.7,3.7,-1.7
B474, Carla Antunes,1,1,1,9670,1,1,132.0,1,1,19,7,5,129.9,1,0,0,1,1,0,20,0,0,6,10,6,12.714285714285714,0,0,6,8,4,13.0,0,12.4,0.5,1.79
B651, Vera Pacheco,1,1,1,9130,1,1,130.0,1,2,3,9,1,117.6,0,0,0,1,1,0,19,0,0,5,14,2,11.5,2,0,5,8,5,11.4,3,9.4,-0.8,-3.12
B466, Liliana Coelho,1,17,1,9147,1,1,115.0,1,19,19,7,7,115.0,1,0,0,1,0,0,23,0,0,5,7,2,10.0,1,0,5,9,1,12.0,0,9.4,-0.8,-3.12
B232, Andreia Fonseca,1,1,1,9130,1,1,133.1,1,1,1,3,9,138.0,1,0,0,1,0,0,20,0,0,6,11,6,13.333333333333334,0,0,6,10,6,13.0,0,16.2,0.3,-0.92
B548, Susana Matos,1,42,1,9147,1,1,139.0,1,3,38,2,5,112.3,1,0,0,1,0,0,19,0,0,5,8,2,11.5,0,0,5,10,3,10.857142857142858,0,10.8,1.4,1.74
B50, Leonor Guerreiro,1,17,1,9500,1,1,160.0,1,38,38,7,7,147.8,0,0,0,1,0,0,20,0,0,7,11,6,11.757142857142856,0,0,8,12,6,13.083333333333334,0,15.5,2.8,-4.06
B568, Mónica Marques,1,1,1,9130,1,1,117.0,1,1,1,9,9,109.3,1,0,0,1,0,0,20,0,0,5,10,4,12.5,0,0,5,12,2,13.0,0,12.7,3.7,-1.7
B357, Júlia Leite,2,39,1,9991,0,1,120.0,1,37,37,9,10,170.0,0,0,0,1,0,0,34,0,0,5,12,2,11.5,0,0,5,9,4,11.75,0,9.4,-0.8,-3.12
B87, Margarida Faria,1,1,1,9853,1,1,126.0,1,3,1,2,5,116.9,1,1,0,1,0,0,18,0,0,7,10,6,10.666666666666666,0,0,7,12,6,12.833333333333334,0,13.9,-0.3,0.79
B544, Francisca Simões,1,17,5,9147,1,1,127.0,1,1,38,4,5,124.6,1,0,0,1,0,1,19,0,0,5,12,2,10.0,0,0,5,11,4,11.75,0,11.1,0.6,2.02
B193, Gabriela Esteves,1,1,1,171,1,1,131.0,1,19,38,4,5,132.8,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32
B790, Eduarda Vaz,1,5,4,9853,1,1,116.0,1,3,38,3,8,110.4,1,0,0,1,0,0,21,0,0,6,9,5,12.6,0,0,6,9,3,11.666666666666666,0,9.4,-0.8,-3.12
B34, Elisabete Lobo,1,39,1,9085,1,1,130.0,1,37,19,9,7,130.0,1,0,0,1,0,0,28,0,0,5,13,4,11.25,1,0,5,11,4,10.5,0,12.7,3.7,-1.7
B32, Débora Magalhães,1,17,1,9853,1,1,138.0,1,38,38,7,6,124.7,1,0,0,1,0,0,18,0,0,6,11,3,12.333333333333334,0,0,6,10,5,10.833333333333334,0,9.4,-0.8,-3.12
B200, Érica Brito,1,1,2,9500,1,1,133.1,1,19,38,192,192,96.0,1,0,0,1,0,0,19,0,0,7,10,6,13.598333333333334,0,0,8,11,6,11.933333333333332,0,11.1,0.6,2.02
B579, Ângela Campos,1,1,1,9773,1,1,127.0,1,5,3,4,4,122.8,1,0,0,1,1,0,20,0,0,6,7,6,12.166666666666666,0,0,6,9,3,12.0,0,12.4,0.5,1.79
B569, Berta Reis,1,1,5,9500,1,1,125.0,1,1,1,3,8,115.6,1,0,0,1,0,0,18,0,0,7,9,6,12.183333333333332,0,0,7,9,6,11.783333333333331,0,16.2,0.3,-0.92
B689, Glória Lima,1,1,1,9119,1,1,142.0,1,1,38,4,3,129.8,1,0,0,1,1,0,18,0,0,5,5,0,0.0,0,0,5,6,1,15.0,0,10.8,1.4,1.74
B751, Miriam Correia,1,39,1,9085,1,1,133.1,1,37,37,9,9,148.2,1,0,1,1,0,0,27,0,0,6,11,6,12.125,0,0,6,16,5,12.0,0,12.4,0.5,1.79
B731, César Lima,1,43,1,9556,1,1,149.0,1,1,1,4,8,140.2,1,1,0,1,0,0,20,0,1,7,9,7,12.333333333333334,0,0,8,8,8,12.625,0,12.7,3.7,-1.7
B138, Flávio Correia,1,1,3,9500,1,1,136.0,1,1,19,4,9,131.1,1,0,0,1,0,0,19,0,0,7,9,6,13.411428571428573,0,0,8,12,7,13.294444444444444,0,15.5,2.8,-4.06
B73, Ruben Serpa,1,17,1,9254,1,1,136.0,1,37,37,7,7,121.7,1,0,0,1,0,0,20,0,0,6,13,3,10.333333333333334,0,0,6,12,3,10.333333333333334,0,10.8,1.4,1.74
B78, Leandro Henriques,1,43,1,9556,1,1,147.0,1,3,4,3,2,100.0,0,0,0,1,0,0,18,0,0,2,2,0,0.0,0,0,4,4,1,16.0,0,10.8,1.4,1.74
B577, Fernando Matias,1,51,1,9991,0,1,120.0,1,38,3,5,3,128.2,0,0,1,1,1,0,24,0,3,10,15,7,10.714285714285714,0,3,10,11,9,12.555555555555555,0,12.4,0.5,1.79
B345, Sebastião Amaral,1,1,4,9238,1,1,125.0,1,19,1,4,5,122.6,1,1,0,1,0,0,18,0,0,6,9,5,11.833333333333334,0,0,6,8,2,11.5,0,13.9,-0.3,0.79
B781, Raul Borges,1,1,1,9670,1,1,131.0,1,37,37,9,6,127.2,0,0,0,1,0,1,18,0,0,5,7,3,12.666666666666666,0,0,5,5,4,12.5,0,9.4,-0.8,-3.12
B463, Jaime Couto,1,1,4,9147,1,1,133.1,1,1,19,4,6,106.0,1,0,0,1,0,0,24,0,0,5,11,2,10.5,0,0,5,14,1,11.0,0,12.7,3.7,-1.7
B333, Manuel Peixoto,1,39,1,9119,1,1,110.0,1,1,1,4,4,125.9,0,0,0,1,1,0,34,0,0,5,7,0,0.0,0,0,5,8,1,11.0,0,10.8,1.4,1.74
B97, Américo Gouveia,1,1,2,9147,1,1,133.0,1,19,1,5,10,121.8,0,0,0,1,1,0,20,0,0,5,9,4,10.2,0,0,5,6,3,11.0,0,15.5,2.8,-4.06
B339, Vânia Serpa,1,17,1,9853,1,1,112.0,1,2,19,3,9,106.1,1,0,0,1,0,0,19,0,0,6,8,5,12.333333333333334,0,0,6,8,5,11.0,0,15.5,2.8,-4.06
B710, Regina Henriques,1,1,1,9254,1,1,123.0,1,38,37,5,5,125.1,0,0,0,1,0,0,19,0,0,6,12,4,11.0,0,0,6,6,4,12.5,0,16.2,0.3,-0.92
B479, Estela Matias,1,17,5,9119,1,1,138.0,1,19,19,5,5,123.3,1,0,1,1,1,0,18,0,0,5,9,4,12.5,0,0,5,11,5,11.285714285714286,0,12.4,0.5,1.79
B782, Olívia Amaral,1,17,2,9500,1,1,140.0,1,1,1,5,10,128.5,1,0,0,1,0,0,18,0,0,7,9,5,14.06,0,0,7,9,6,12.571428571428571,0,12.4,0.5,1.79
B627, Célia Borges,1,1,1,9147,1,1,124.0,1,38,19,3,10,128.6,1,0,0,1,0,0,20,0,0,5,5,4,12.0,0,0,4,4,2,11.5,0,7.6,2.6,0.32
B607, Irene Couto,2,1,1,9147,1,1,137.0,1,19,37,9,9,124.4,0,0,0,1,0,0,19,0,0,5,6,4,11.25,0,0,5,10,3,11.714285714285714,0,10.8,1.4,1.74
B755, Emília Peixoto,1,44,1,9085,1,39,140.0,1,1,39,3,9,140.0,1,0,0,1,0,0,20,0,1,6,9,6,12.666666666666666,0,1,6,10,4,11.5,0,13.9,-0.3,0.79
B534, Natália Gouveia,1,1,3,9500,1,1,136.0,1,1,1,4,4,127.0,1,0,0,1,0,0,19,0,0,8,10,1,13.67,7,0,8,10,1,13.67,7,9.4,-0.8,-3.12
B55, Sílvia Tavares,1,1,1,9085,1,1,129.0,1,1,2,3,1,125.9,1,0,0,1,0,0,19,0,0,5,13,4,12.0,2,0,5,8,3,12.0,0,9.4,-0.8,-3.12
B745, Rosa Ferreira,1,1,3,9500,1,1,131.0,1,37,37,9,9,118.0,1,0,0,1,0,1,18,0,0,8,8,7,13.242857142857144,0,0,8,8,7,13.242857142857144,0,12.7,3.7,-1.7
